label,mode,auc_pr,f1_max,mAP,recall_at_1,recall_at_5,recall_at_10
Baseline (raw),fused,0.5367413745055051,0.7351457776147412,,0.6727456940222898,,
Baseline (raw),lidar_only,0.3877100160329821,0.6295744424902269,,0.6261398176291794,,
Baseline (raw),camera_only,0.5316419522486264,0.7273801292952694,,0.6575481256332321,,
Baseline + TTA,fused,0.5347910873367083,0.7370145675586489,0.7356198252591077,0.6874366767983789,0.8166160081053698,0.8525835866261399
Baseline + TTA,lidar_only,0.3877099756164288,0.6295675957175023,0.6302942030310863,0.6261398176291794,0.7608915906788247,0.7912867274569402
Baseline + TTA,camera_only,0.5311752448482223,0.7298090206028256,0.7308489296966532,0.6641337386018237,0.8196555217831814,0.8551165146909828
Baseline + whiten + TTA,fused,0.5022528714625257,0.6864334605222435,0.7029222453837759,0.6312056737588653,0.7988855116514691,0.8429584599797366
Baseline + whiten + TTA,lidar_only,0.3699302250588718,0.612943486882984,0.6033583646358284,0.601823708206687,0.7502532928064843,0.7862208713272543
Baseline + whiten + TTA,camera_only,0.4998290436174246,0.6990541362681807,0.6984924633044602,0.6185410334346505,0.7892603850050659,0.8404255319148937
Baseline + TTA + seq=5,fused,0.5177651255987099,0.7293174043455714,0.6983752433501237,0.6509625126646403,0.790273556231003,0.8328267477203647
Baseline + TTA + seq=5,lidar_only,0.4745685828006786,0.6903136287177988,0.6297752064555552,0.5481256332320162,0.776595744680851,0.8323201621073961
Baseline + TTA + seq=5,camera_only,0.5175826160650177,0.7241214842038246,0.6935230377351954,0.6393110435663627,0.7897669706180345,0.8353596757852076
Baseline + TTA + seq=9,fused,0.4897561142777702,0.6750629674755797,0.6107167806146099,0.506079027355623,0.7639311043566362,0.8201621073961499
Baseline + TTA + seq=9,lidar_only,0.4486854352202843,0.6544582744903674,0.5622444279447553,0.4067882472137791,0.7228976697061803,0.7993920972644377
Baseline + TTA + seq=9,camera_only,0.4898585067516577,0.6831309052074873,0.6056932694832544,0.4873353596757852,0.7573454913880446,0.8206686930091185
