group,label,auc_pr,f1_max,mAP,recall_at_1,recall_at_5,recall_at_10
Baseline,Baseline + TTA,0.5347910873367083,0.7370145675586489,0.7356198252591077,0.6874366767983789,0.8166160081053698,0.8525835866261399
Baseline,Baseline (raw),0.5367413745055051,0.7351457776147412,,0.6727456940222898,,
Baseline,Baseline + TTA + seq=5,0.5177651255987099,0.7293174043455714,0.6983752433501237,0.6509625126646403,0.790273556231003,0.8328267477203647
Baseline,Baseline + whiten + TTA,0.5022528714625257,0.6864334605222435,0.7029222453837759,0.6312056737588653,0.7988855116514691,0.8429584599797366
Baseline,Baseline + TTA + seq=9,0.4897561142777702,0.6750629674755797,0.6107167806146099,0.506079027355623,0.7639311043566362,0.8201621073961499
Baseline+Rerank,Baseline + TTA + α-QE(5) + DSM(T=1.00),0.6416503577650057,0.7009655673716115,0.7567993945082633,0.8252279635258358,0.9792299898682876,0.9918946301925026
Baseline+Rerank,Baseline + TTA + α-QE(5) + DSM(T=0.50),0.6371711280368411,0.6964702357026283,0.7561325031694066,0.8232016210739616,0.977710233029382,0.9898682877406282
Baseline+Rerank,Baseline + TTA + α-QE(5) + DSM(T=0.30),0.6293169002693885,0.6894144003654131,0.7551975070433776,0.8201621073961499,0.9741641337386018,0.9888551165146908
Baseline+Rerank,Baseline + TTA + α-QE(5) + DSM(T=0.20),0.617510773140576,0.6794930852565212,0.7537444135761068,0.8181357649442755,0.9680851063829788,0.9878419452887538
Baseline+Rerank,Baseline + TTA + α-QE(10) + DSM(T=0.10),0.5859829659719067,0.6571013536717805,0.7514520134501302,0.8166160081053698,0.9518743667679838,0.9772036474164134
Baseline+Rerank,Baseline + TTA + α-QE(5) + DSM(T=0.15),0.6051940449706013,0.6695599712657934,0.7519406154978239,0.8156028368794326,0.9625126646403244,0.986322188449848
Baseline+Rerank,Baseline + TTA + α-QE(5) + DSM(T=0.10),0.5893675755849797,0.6590287026619158,0.7490365854497497,0.8024316109422492,0.9412360688956434,0.9660587639311043
Baseline+Rerank,Baseline + TTA + α-QE(3) + DSM(T=0.05),0.6199725319892447,0.6919589204148805,0.743231303099139,0.7801418439716312,0.905775075987842,0.9361702127659576
Baseline+Rerank,Baseline + TTA + α-QE(5) + DSM(T=0.05),0.6180935300609726,0.6880146338986248,0.7464346729422775,0.7750759878419453,0.9067882472137792,0.9361702127659576
Baseline+Rerank,Baseline + TTA + α-QE(5),0.5479951031057351,0.7288906077903344,0.7476590305091219,0.7578520770010132,0.8814589665653495,0.914387031408308
Baseline+Rerank,Baseline + TTA + α-QE(10),0.5524675600271318,0.7291709355058816,0.7482540387860306,0.7537993920972644,0.8748733535967579,0.9189463019250254
Baseline+Rerank,Baseline + DSM(T=0.05),0.6203563167759352,0.6993059260709116,0.7300864759957174,0.6676798378926039,0.8277608915906788,0.8637284701114488
PK-v2,PK-v2 + TTA,0.352,0.5139,0.6144,0.5947,0.773,0.8116
PK-v2,PK-v2 (raw),0.3481,0.4957,0.6084,0.5861,0.7766,0.8151
PK-v2+Rerank,PK-v2 + TTA + α-QE(5) + DSM(T=0.05),0.4616944498663659,0.5020253356000892,0.6346641980100276,0.7051671732522796,0.8424518743667679,0.8708206686930091
